"ID","Nom_complet","year","Date_t1","Date_t","delta_time","death_year","delta_DBH","delta_H","Placette","TWI_mean","delta_Lum","dST_juv","dST_adult","dST_juv_mean","dST_adult_mean","Placette_C.L.","Indice_palmier_superposition_m2","Palm_coverage","DBHt1","DBHt","Statut_growth","Treatment",".obsID"
"1.9.10.5","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.01,"1.9.10",0.318626658703393,0.0695852528032147,-0.0039058989625892,-2.2097692347985,-0.824057110672134,-0.95807761755756,"1.9.10",45.2484005691458,0.0793540273019333,5,-0.777288214330966,0,"T0",52
"1.9.5.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.15,"1.9.5",-0.621501048976572,0.218792056383788,0.00390589896258897,0.106043256749597,-0.201042146871555,-0.949506713469967,"1.9.5",12.8241800261676,-0.884517179137553,25,0.113036040766503,0,"T0",53
"1.9.5.2","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.13,"1.9.5",-0.621501048976572,0.218792056383788,0.00390589896258897,0.106043256749597,-0.201042146871555,-0.949506713469967,"1.9.5",12.8241800261676,-0.884517179137553,5,-0.777288214330966,0,"T0",54
"1.9.5.4","Bocoa prouacensis",1992,1992,1993,1,2008,0,0.101318697123519,"1.9.5",-0.621501048976572,0.0955131678890884,0.00390589896258897,0.106043256749597,-0.201042146871555,-0.949506713469967,"1.9.5",12.8241800261676,-0.884517179137553,15,-0.332126086782231,0,"T0",55
"1.9.5.5","Bocoa prouacensis",1992,1992,1993,1,NA,0,0.0166666666666667,"1.9.5",-0.621501048976572,0.218792056383788,0.00390589896258897,0.106043256749597,-0.201042146871555,-0.949506713469967,"1.9.5",12.8241800261676,-0.884517179137553,25,0.113036040766503,0,"T0",56
"1.9.5.6","Symphonia sp. 1",1992,1992,1993,1,2013,0,0.115134598254053,"1.9.5",-0.621501048976572,0.493233727407474,0.00390589896258897,0.106043256749597,-0.201042146871555,-0.949506713469967,"1.9.5",12.8241800261676,-0.884517179137553,5,-0.777288214330966,0,"T0",57
"1.9.7.1","Iryanthera hostmannii",1992,1992,1993,1,2016,0,0.0589988442822384,"1.9.7",-0.832310098994023,-0.113037372373669,0.0976474740647313,0.323195530921502,-0.710398975384191,0.126563005047434,"1.9.7",57.7176154028821,0.450024993137975,15,-0.332126086782231,0,"T0",58
"1.9.7.2","Symphonia sp. 1",1992,1992,1993,1,NA,0,0,"1.9.7",-0.832310098994023,0.0687278534545818,0.0976474740647313,0.323195530921502,-0.710398975384191,0.126563005047434,"1.9.7",57.7176154028821,0.450024993137975,15,-0.332126086782231,0,"T0",59
"1.9.8.1","Iryanthera hostmannii",1992,1992,1993,1,2002,0,0.0589988442822384,"1.9.8",-0.385095306662374,0.0955131678890884,0,-1.6105460334417,-0.834581012087684,1.62567695181275,"1.9.8",73.1145768155058,0.907728756675375,5,-0.777288214330966,0,"T0",60
"1.9.9.1","Bocoa prouacensis",1992,1992,1993,1,NA,0,0,"1.9.9",3.13588318951611,0.172430210642448,0,-3.3876148774428,-0.834581012087684,0.692056368209092,"1.9.9",32.3049159914153,-0.305415502591045,5,-0.777288214330966,0,"T0",61
"10.10.10.2","Symphonia sp. 1",1992,1992,1993,1,2008,0,0.115134598254053,"10.10.10",-0.346108753854679,0.0955131678890884,0,-1.2216926155784,-0.746180240197062,-0.772372296862086,"10.10.10",7.57845445683052,-1.04045628109578,5,-0.777288214330966,0,"T2",62
"10.10.10.6","Eperua falcata",1992,1992,1993,1,2002,0,0.137573220973783,"10.10.10",-0.346108753854679,0.0955131678890884,0,-1.2216926155784,-0.746180240197062,-0.772372296862086,"10.10.10",7.57845445683052,-1.04045628109578,5,-0.777288214330966,0,"T2",63
"10.10.5.2","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.233333333333333,"10.10.5",-0.354236493020772,-0.258195658986087,0,0.929735942138901,-0.796694966991703,-0.67253540382127,"10.10.5",3.58174192662591,-1.15926611102442,15,-0.332126086782231,0,"T2",64
"10.10.6.1","Eperua falcata",1992,1992,1993,1,NA,0,0.0333333333333334,"10.10.6",-0.707255838914549,0.110937305030658,0,0.822623247025099,-0.379948470935911,-0.912572958756479,"10.10.6",9.18861971166189,-0.992591077221897,5,-0.777288214330966,0,"T2",65
"10.10.6.2","Symphonia sp. 1",1992,1992,1993,1,2013,0,0.115134598254053,"10.10.6",-0.707255838914549,0.0841136499243454,0,0.822623247025099,-0.379948470935911,-0.912572958756479,"10.10.6",9.18861971166189,-0.992591077221897,25,0.113036040766503,0,"T2",66
"10.10.6.3","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.5,"10.10.6",-0.707255838914549,0.110937305030658,0,0.822623247025099,-0.379948470935911,-0.912572958756479,"10.10.6",9.18861971166189,-0.992591077221897,35,0.558198168315238,0,"T2",67
"10.10.6.4","Eperua falcata",1992,1992,1993,1,NA,0,0,"10.10.6",-0.707255838914549,0.110937305030658,0,0.822623247025099,-0.379948470935911,-0.912572958756479,"10.10.6",9.18861971166189,-0.992591077221897,25,0.113036040766503,0,"T2",68
"10.10.7.1","Eperua falcata",1992,1992,1993,1,NA,0,0.00999999999999996,"10.10.7",2.49690579380276,-0.268771176176221,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,15,-0.332126086782231,0,"T2",69
"10.10.7.3","Eperua falcata",1992,1992,1993,1,2002,0,0.137573220973783,"10.10.7",2.49690579380276,0.0955131678890884,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,15,-0.332126086782231,0,"T2",70
"10.10.7.4","Iryanthera hostmannii",1992,1992,1993,1,NA,0,0.05,"10.10.7",2.49690579380276,-0.239675325452947,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,15,-0.332126086782231,0,"T2",71
"10.10.7.5","Virola michelii",1992,1992,1993,1,2002,0,0.128596614728251,"10.10.7",2.49690579380276,0.0955131678890884,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,5,-0.777288214330966,0,"T2",72
"10.10.7.6","Virola michelii",1992,1992,1993,1,2002,0,0.128596614728251,"10.10.7",2.49690579380276,0.0955131678890884,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,15,-0.332126086782231,0,"T2",73
"10.10.7.8","Symphonia sp. 1",1992,1992,1993,1,2016,0,0.115134598254053,"10.10.7",2.49690579380276,-0.268771176176221,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,15,-0.332126086782231,0,"T2",74
"10.10.7.9","Symphonia sp. 1",1992,1992,1993,1,2002,0,0.115134598254053,"10.10.7",2.49690579380276,0.0955131678890884,0,1.3330830641493,-0.531492651319835,-0.462959380943256,"10.10.7",20.0840284644546,-0.668704470131818,5,-0.777288214330966,0,"T2",75
"10.10.8.1","Eperua falcata",1992,1992,1993,1,NA,0,0.466666666666667,"10.10.8",0.587249093106182,0.0971587766299254,0,1.4588699320256,0.019959782855001,-0.362236861014848,"10.10.8",23.965526319203,-0.553319614076772,45,1.00336029586397,0,"T2",76
"10.10.8.4","Bocoa prouacensis",1992,1992,1993,1,NA,0,1.2,"10.10.8",0.587249093106182,0.0971587766299254,0,1.4588699320256,0.019959782855001,-0.362236861014848,"10.10.8",23.965526319203,-0.553319614076772,55,1.44852242341271,0,"T2",77
"10.3.3.1","Iryanthera hostmannii",1992,1992,1993,1,2002,0,0.0589988442822384,"10.3.3",-0.697731781738859,0.0955131678890884,0,0.378665610288099,-0.720922876799741,-1.28117540767091,"10.3.3",35.3039664309399,-0.216263062936071,5,-0.777288214330966,0,"T2",78
"10.3.5.1","Virola michelii",1992,1992,1993,1,NA,0,0.5,"10.3.5",0.572301155543449,-1.12733944106777,0,0.658717746146699,-0.796694966991703,-1.64869466616921,"10.3.5",65.6678500706789,0.686360736986282,15,-0.332126086782231,0,"T2",79
